STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VERSION,Version,TIME_PERIOD,Time period,OBS_VALUE,Observation value,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2013,,1.53174603,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2006,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2006,,1.46825397,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2005,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2005,,1.46825397,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2004,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2004,,1.46825397,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2013,,2.932539701,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2001,,1.46825397,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2000,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2000,,1.46825397,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2019,,2.557539701,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2019,,1.53174603,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2018,,2.474206448,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2018,,1.53174603,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2017,,2.474206448,,F,Free (free for publication),2,Two,A,Normal value,0,Units
