,STRUCTURE_NAME,REF_AREA,MEASURE,Measure,TIME_PERIOD,OBS_VALUE
0,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2013,1.53174603
1,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2006,3.015872955
2,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2006,1.46825397
3,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2005,3.015872955
4,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2005,1.46825397
5,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2004,3.015872955
6,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2004,1.46825397
7,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2013,2.932539701
8,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2001,1.46825397
9,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2000,3.015872955
10,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2000,1.46825397
11,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2019,2.557539701
12,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2019,1.53174603
13,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2018,2.474206448
14,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2018,1.53174603
15,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2017,2.474206448
16,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2017,1.53174603
17,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2016,2.474206448
18,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2016,1.53174603
19,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2015,2.932539701
20,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2015,1.53174603
21,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2014,2.932539701
22,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2014,1.53174603
23,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2001,3.015872955
24,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2007,3.015872955
25,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2007,1.46825397
26,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2012,3.015872955
27,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2012,1.53174603
28,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2011,3.015872955
29,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2011,1.53174603
30,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2010,3.015872955
31,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2010,1.46825397
32,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2009,3.015872955
33,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2009,1.46825397
34,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2008,3.015872955
35,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2008,1.46825397
36,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2003,1.46825397
37,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2002,3.015872955
38,Strictness of employment protection,DNK,EPL_OV,Individual and collective dismissals (regular contracts),2002,1.46825397
39,Strictness of employment protection,ITA,EPL_OV,Individual and collective dismissals (regular contracts),2003,3.015872955
