STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),indic_sb,Economical indicator for structural business statistics,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2008,,12216,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2009,,12388,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2010,,13597,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2011,,14586,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2012,,14960,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2013,,15409,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2014,,16105,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2015,,16105,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2016,,17126,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2017,,17988,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2018,,18487,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2019,,18961,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,DK,Denmark,2020,,18996,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2008,,102469,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2009,,100656,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2010,,99122,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2011,,97414,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2012,,97280,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2013,,95989,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2014,,96997,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2015,,98381,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2016,,101269,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2017,,101941,,b,break in time series,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2018,,105449,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2019,,104879,,,,,
dataflow,ESTAT:SBS_NA_SCA_R2(1.0),Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),A,Annual,J,Information and communication,V11110,Enterprises - number,IT,Italy,2020,,107822,,,,,
